transaction_description,category,country,currency,user_id,amount,date
Temple Online TXN328982,Charity & Donations,USA,USD,freelancer,163.86,2023-01-19
Moe's Southwest Grill #6477 (Wire),Food & Dining,USA,USD,freelancer,21.2,2023-01-19
Bank #3507 - Weekend,Financial Services,USA,USD,freelancer,245.7,2023-01-19
Avis - USA (Digital Wallet),Transportation,USA,USD,freelancer,29.9,2023-01-20
Walmart Pharmacy - USA (Card),Healthcare & Medical,USA,USD,freelancer,39.03,2023-01-20
Loan,Financial Services,USA,USD,freelancer,752.56,2023-01-20
CVS Branch,Healthcare & Medical,USA,USD,freelancer,361.73,2023-01-20
CIA #5519,Government & Legal,USA,USD,freelancer,435.93,2023-01-21
Speech Therapy - Morning,Healthcare & Medical,USA,USD,freelancer,205.06,2023-01-21
CIA - USA Store,Government & Legal,USA,USD,freelancer,189.39,2023-01-22
Saks Fifth Avenue,Shopping & Retail,USA,USD,freelancer,198.69,2023-01-22
Lab #7663,Healthcare & Medical,USA,USD,freelancer,100.05,2023-01-22
Emergency Room - Afternoon,Healthcare & Medical,USA,USD,freelancer,313.54,2023-01-22
DMV,Government & Legal,USA,USD,freelancer,386.43,2023-01-23
Verizon #8936 - USA Store,Utilities & Services,USA,USD,freelancer,59.97,2023-01-23
Salvation Army #2300,Charity & Donations,USA,USD,freelancer,64.41,2023-01-23
RCN - Evening,Utilities & Services,USA,USD,freelancer,99.86,2023-01-23
SEPTA Online,Transportation,USA,USD,freelancer,35.86,2023-01-23
Goodwill (Cash),Charity & Donations,USA,USD,freelancer,136.57,2023-01-23
Mortgage #2348 Store,Financial Services,USA,USD,freelancer,749.52,2023-01-24
Mosque #6876 - USA Store (Cash),Charity & Donations,USA,USD,freelancer,13.03,2023-01-25
State Police,Government & Legal,USA,USD,freelancer,373.98,2023-01-25
Spotify,Entertainment & Recreation,USA,USD,freelancer,5.84,2023-01-25
Google Fiber Branch TXN630115,Utilities & Services,USA,USD,freelancer,229.25,2023-01-27
NSA #9630 - USA - Holiday,Government & Legal,USA,USD,freelancer,127.82,2023-01-27
Burger King #1590 Online - Holiday,Food & Dining,USA,USD,freelancer,16.73,2023-01-27
WWF,Charity & Donations,USA,USD,freelancer,161.83,2023-01-28
Nordstrom Online,Shopping & Retail,USA,USD,freelancer,88.0,2023-02-01
Income,Income,USA,USD,freelancer,4306.48,2023-02-02
Religious Organization - USA Center,Charity & Donations,USA,USD,freelancer,122.57,2023-02-02
Police Department #8153 (ACH),Government & Legal,USA,USD,freelancer,389.09,2023-02-02
Zoo Store Center,Entertainment & Recreation,USA,USD,freelancer,20.52,2023-02-02
Charter #8072 Online,Utilities & Services,USA,USD,freelancer,146.76,2023-02-02
Panda Express Online - Lunch Time,Food & Dining,USA,USD,freelancer,6.35,2023-02-02
Dunkin' Donuts #2834 - USA Branch,Food & Dining,USA,USD,freelancer,17.64,2023-02-04
Spotify,Entertainment & Recreation,USA,USD,freelancer,7.77,2023-02-05
Adobe Creative Cloud,Shopping & Retail,USA,USD,freelancer,35.18,2023-02-06
Public WiFi Store Branch (Cash),Utilities & Services,USA,USD,freelancer,140.12,2023-02-07
SoulCycle - USA,Entertainment & Recreation,USA,USD,freelancer,109.29,2023-02-07
Religious Organization,Charity & Donations,USA,USD,freelancer,147.56,2023-02-09
Chiropractor - USA Branch TXN532449,Healthcare & Medical,USA,USD,freelancer,219.5,2023-02-09
Jersey Mike's,Food & Dining,USA,USD,freelancer,14.32,2023-02-09
GoFundMe,Charity & Donations,USA,USD,freelancer,199.06,2023-02-10
Chick-fil-A,Food & Dining,USA,USD,freelancer,23.78,2023-02-11
CrossFit Store,Entertainment & Recreation,USA,USD,freelancer,140.5,2023-02-12
MBTA - USA,Transportation,USA,USD,freelancer,2.81,2023-02-14
Thrifty Online,Transportation,USA,USD,freelancer,10.9,2023-02-14
Animal Shelter - USA Shopping Center,Charity & Donations,USA,USD,freelancer,22.65,2023-02-15
Jersey Mike's,Food & Dining,USA,USD,freelancer,36.36,2023-02-15
National #4379 - USA Downtown,Transportation,USA,USD,freelancer,69.73,2023-02-16
Cedars-Sinai - USA Online,Healthcare & Medical,USA,USD,freelancer,166.11,2023-02-16
Ulta #7808,Shopping & Retail,USA,USD,freelancer,21.73,2023-02-18
Starbucks #8150 Online,Food & Dining,USA,USD,freelancer,15.09,2023-02-19
Big Lots,Shopping & Retail,USA,USD,freelancer,284.24,2023-02-19
Planet Fitness #2417 Store Center Station,Entertainment & Recreation,USA,USD,freelancer,83.65,2023-02-20
Doctors Without Borders Online,Charity & Donations,USA,USD,freelancer,19.83,2023-02-20
Starbucks,Food & Dining,USA,USD,freelancer,14.86,2023-02-20
Dropbox,Utilities & Services,USA,USD,freelancer,10.2,2023-02-20
Marshals Store Branch Center Business District,Government & Legal,USA,USD,freelancer,457.68,2023-02-21
Zara (ACH),Shopping & Retail,USA,USD,freelancer,46.17,2023-02-22
Barneys New York #9305,Shopping & Retail,USA,USD,freelancer,20.88,2023-02-22
Charity - USA - Dinner Time,Charity & Donations,USA,USD,freelancer,136.06,2023-02-23
Wendy's - Rush Hour,Food & Dining,USA,USD,freelancer,22.1,2023-02-23
National - USA - Weekday,Transportation,USA,USD,freelancer,74.35,2023-02-23
Museum #1539 Center,Entertainment & Recreation,USA,USD,freelancer,10.54,2023-02-24
Temple Branch Center,Charity & Donations,USA,USD,freelancer,37.82,2023-02-25
Emergency Room #8980 - Holiday,Healthcare & Medical,USA,USD,freelancer,25.79,2023-02-25
Frontier,Transportation,USA,USD,freelancer,86.45,2023-02-26
Visa #3675 - USA (Digital Wallet),Government & Legal,USA,USD,freelancer,493.25,2023-02-27
Fiber #1975 - USA Business District,Utilities & Services,USA,USD,freelancer,109.07,2023-02-28
Cedars-Sinai,Healthcare & Medical,USA,USD,freelancer,310.56,2023-02-28
Regal #6997 - USA Branch - Night,Entertainment & Recreation,USA,USD,freelancer,142.69,2023-03-01
Bergdorf Goodman #1249 Online,Shopping & Retail,USA,USD,freelancer,262.28,2023-03-01
eBay,Shopping & Retail,USA,USD,freelancer,110.25,2023-03-02
Income,Income,USA,USD,freelancer,5188.96,2023-03-03
Chiropractor #4562 - USA TXN807607,Healthcare & Medical,USA,USD,freelancer,173.62,2023-03-03
Income,Income,USA,USD,freelancer,5515.59,2023-03-04
Credit Union Store Online - Holiday,Financial Services,USA,USD,freelancer,252.05,2023-03-04
Walgreens #9628 Center,Shopping & Retail,USA,USD,freelancer,70.36,2023-03-04
RCN Store Downtown,Utilities & Services,USA,USD,freelancer,139.8,2023-03-05
Salvation Army - USA - Afternoon,Charity & Donations,USA,USD,freelancer,78.47,2023-03-06
Audubon Society #8497 - Lunch Time,Charity & Donations,USA,USD,freelancer,143.52,2023-03-07
Trader Joe's,Food & Dining,USA,USD,freelancer,19.99,2023-03-08
PETA TXN488440,Charity & Donations,USA,USD,freelancer,50.23,2023-03-08
Arby's - USA (Cash),Food & Dining,USA,USD,freelancer,10.28,2023-03-08
Cox #3227 (Card),Utilities & Services,USA,USD,freelancer,245.69,2023-03-09
Financial Advisor #2047 - Evening,Financial Services,USA,USD,freelancer,176.87,2023-03-10
Walmart Supercenter - USA,Food & Dining,USA,USD,freelancer,42.96,2023-03-10
White Castle,Food & Dining,USA,USD,freelancer,28.53,2023-03-10
Spirit - USA TXN759043,Transportation,USA,USD,freelancer,82.63,2023-03-11
Animal Shelter #2950 Store Downtown,Charity & Donations,USA,USD,freelancer,28.78,2023-03-13
Accounting - USA Store,Financial Services,USA,USD,freelancer,128.51,2023-03-13
Zipcar #7619,Transportation,USA,USD,freelancer,42.99,2023-03-13
McDonald's #5076 (Contactless),Food & Dining,USA,USD,freelancer,18.4,2023-03-14
Saks Fifth Avenue - USA Store,Shopping & Retail,USA,USD,freelancer,196.06,2023-03-15
Saks Fifth Avenue,Shopping & Retail,USA,USD,freelancer,262.86,2023-03-15
Fair,Entertainment & Recreation,USA,USD,freelancer,25.0,2023-03-16
Kroger Pharmacy,Healthcare & Medical,USA,USD,freelancer,62.61,2023-03-16
Alamo TXN578508,Transportation,USA,USD,freelancer,29.9,2023-03-16
Dropbox,Utilities & Services,USA,USD,freelancer,11.44,2023-03-16
Cedars-Sinai,Healthcare & Medical,USA,USD,freelancer,263.02,2023-03-17
Dermatologist Store TXN700420,Healthcare & Medical,USA,USD,freelancer,33.42,2023-03-17
Huntington Bank #4641,Financial Services,USA,USD,freelancer,867.62,2023-03-17
Cleveland Clinic - USA,Healthcare & Medical,USA,USD,freelancer,82.56,2023-03-18
HSBC,Financial Services,USA,USD,freelancer,433.56,2023-03-18
License Business District,Government & Legal,USA,USD,freelancer,317.04,2023-03-18
Chase TXN899026,Financial Services,USA,USD,freelancer,176.31,2023-03-19
Best Buy,Shopping & Retail,USA,USD,freelancer,75.83,2023-03-20
Lyft,Transportation,USA,USD,freelancer,96.6,2023-03-20
Getaround #6706 Store Station,Transportation,USA,USD,freelancer,83.01,2023-03-20
Adobe Creative Cloud,Shopping & Retail,USA,USD,freelancer,21.6,2023-03-20
Spotify,Entertainment & Recreation,USA,USD,freelancer,8.44,2023-03-20
Cardiologist - USA Store,Healthcare & Medical,USA,USD,freelancer,319.91,2023-03-22
Capitol,Government & Legal,USA,USD,freelancer,189.53,2023-03-22
T-Mobile Store,Utilities & Services,USA,USD,freelancer,135.46,2023-03-22
White Castle Store Airport,Food & Dining,USA,USD,freelancer,19.62,2023-03-23
Dunkin' Donuts - Weekend,Food & Dining,USA,USD,freelancer,5.96,2023-03-24
Religious Organization #6841 - Night,Charity & Donations,USA,USD,freelancer,142.73,2023-03-25
Bowling Alley Store,Entertainment & Recreation,USA,USD,freelancer,132.72,2023-03-25
McDonald's #9137 Store TXN962634,Food & Dining,USA,USD,freelancer,41.36,2023-03-25
Physical Therapy #1539,Healthcare & Medical,USA,USD,freelancer,353.52,2023-03-25
Investment Bank #8872 Store (Bank Transfer),Financial Services,USA,USD,freelancer,286.39,2023-03-26
Insurance #4405 - USA TXN272782,Financial Services,USA,USD,freelancer,215.03,2023-03-26
UNICEF,Charity & Donations,USA,USD,freelancer,85.46,2023-03-27
BMO Harris #2387 Online,Financial Services,USA,USD,freelancer,221.49,2023-03-27
Burger King #1414,Food & Dining,USA,USD,freelancer,48.53,2023-03-27
Tim Hortons Airport,Food & Dining,USA,USD,freelancer,31.46,2023-03-28
Bookkeeping #9366 Online Branch,Financial Services,USA,USD,freelancer,100.9,2023-03-28
Dropbox,Utilities & Services,USA,USD,freelancer,12.39,2023-04-01
Income,Income,USA,USD,freelancer,3256.24,2023-04-02
Income,Income,USA,USD,freelancer,3549.19,2023-04-02
Sheriff - USA Store,Government & Legal,USA,USD,freelancer,298.8,2023-04-03
Festival #3069 TXN128871,Entertainment & Recreation,USA,USD,freelancer,90.39,2023-04-04
Alaska Airlines - USA,Transportation,USA,USD,freelancer,35.57,2023-04-05
Chipotle #1407,Food & Dining,USA,USD,freelancer,5.47,2023-04-05
BART,Transportation,USA,USD,freelancer,2.62,2023-04-06
Burger King #6423,Food & Dining,USA,USD,freelancer,24.34,2023-04-07
Office Depot - USA,Shopping & Retail,USA,USD,freelancer,75.48,2023-04-07
MARTA,Transportation,USA,USD,freelancer,56.85,2023-04-08
Kroger Pharmacy - Evening,Healthcare & Medical,USA,USD,freelancer,286.23,2023-04-09
Suddenlink Store Strip Mall,Utilities & Services,USA,USD,freelancer,273.34,2023-04-09
JetBlue - Afternoon,Transportation,USA,USD,freelancer,9.23,2023-04-10
Anytime Fitness Strip Mall,Entertainment & Recreation,USA,USD,freelancer,145.73,2023-04-11
Neiman Marcus,Shopping & Retail,USA,USD,freelancer,155.66,2023-04-11
Adobe Creative Cloud,Shopping & Retail,USA,USD,freelancer,45.19,2023-04-11
Bowling Alley #5341 Online (App),Entertainment & Recreation,USA,USD,freelancer,84.6,2023-04-14
Walmart Supercenter Online,Food & Dining,USA,USD,freelancer,15.35,2023-04-15
Ski Resort #8158 (ACH),Entertainment & Recreation,USA,USD,freelancer,41.52,2023-04-17
DSL #5444,Utilities & Services,USA,USD,freelancer,293.86,2023-04-17
Capital One,Financial Services,USA,USD,freelancer,359.02,2023-04-17
Burger King Store,Food & Dining,USA,USD,freelancer,30.09,2023-04-18
Mobile Station,Utilities & Services,USA,USD,freelancer,177.3,2023-04-18
Satellite Internet - USA Online,Utilities & Services,USA,USD,freelancer,66.81,2023-04-19
Tax - Evening,Government & Legal,USA,USD,freelancer,488.61,2023-04-19
Doctors Without Borders Store,Charity & Donations,USA,USD,freelancer,47.07,2023-04-19
Firehouse Subs - USA,Food & Dining,USA,USD,freelancer,40.7,2023-04-20
Equinox,Entertainment & Recreation,USA,USD,freelancer,42.46,2023-04-20
Synagogue Store,Charity & Donations,USA,USD,freelancer,193.0,2023-04-20
Notary Store,Government & Legal,USA,USD,freelancer,203.96,2023-04-20
Starlink - USA Branch,Utilities & Services,USA,USD,freelancer,151.49,2023-04-21
eBay - Night,Shopping & Retail,USA,USD,freelancer,173.26,2023-04-22
Orange Theory #9204 - USA - Evening,Entertainment & Recreation,USA,USD,freelancer,100.72,2023-04-22
FBI #4179 - Lunch Time,Government & Legal,USA,USD,freelancer,65.66,2023-04-23
Senate,Government & Legal,USA,USD,freelancer,330.75,2023-04-23
Permit,Government & Legal,USA,USD,freelancer,467.71,2023-04-23
US Bank - USA (Contactless),Financial Services,USA,USD,freelancer,365.22,2023-04-23
Lowe's #6707 - USA Online,Shopping & Retail,USA,USD,freelancer,10.67,2023-04-24
Hertz #3709 - USA,Transportation,USA,USD,freelancer,52.79,2023-04-25
CenturyLink Center (Cash),Utilities & Services,USA,USD,freelancer,137.56,2023-04-25
Orange Theory - USA,Entertainment & Recreation,USA,USD,freelancer,86.22,2023-04-25
Stanford Health - USA,Healthcare & Medical,USA,USD,freelancer,479.32,2023-04-26
Paramedic,Government & Legal,USA,USD,freelancer,274.78,2023-04-26
Spotify,Entertainment & Recreation,USA,USD,freelancer,8.62,2023-04-26
Yoga Studio #5217 - Night,Entertainment & Recreation,USA,USD,freelancer,56.25,2023-04-27
Post Office - USA Strip Mall,Government & Legal,USA,USD,freelancer,111.15,2023-04-28
In-N-Out #3559 - Weekend,Food & Dining,USA,USD,freelancer,32.83,2023-05-01
Religious Organization - Night,Charity & Donations,USA,USD,freelancer,40.05,2023-05-01
Cinema (ACH),Entertainment & Recreation,USA,USD,freelancer,73.24,2023-05-01
Uniqlo Online,Shopping & Retail,USA,USD,freelancer,26.19,2023-05-01
Income,Income,USA,USD,freelancer,6575.55,2023-05-03
UCLA Medical - USA Campus,Healthcare & Medical,USA,USD,freelancer,246.5,2023-05-03
Credit Union #8050,Financial Services,USA,USD,freelancer,175.22,2023-05-03
Cane's #5737,Food & Dining,USA,USD,freelancer,35.28,2023-05-03
Lab,Healthcare & Medical,USA,USD,freelancer,171.05,2023-05-05
Youth Organization - USA Online,Charity & Donations,USA,USD,freelancer,115.84,2023-05-05
Orthopedist,Healthcare & Medical,USA,USD,freelancer,481.47,2023-05-06
United,Transportation,USA,USD,freelancer,80.55,2023-05-06
Delta #1988 - USA Campus,Transportation,USA,USD,freelancer,87.32,2023-05-06
Dental Online (ACH),Healthcare & Medical,USA,USD,freelancer,492.83,2023-05-06
OfficeMax #6297,Shopping & Retail,USA,USD,freelancer,202.61,2023-05-07
Charity,Charity & Donations,USA,USD,freelancer,172.71,2023-05-07
Municipal Building - USA - Afternoon,Government & Legal,USA,USD,freelancer,375.16,2023-05-07
Ulta,Shopping & Retail,USA,USD,freelancer,201.97,2023-05-08
Dollar Tree - USA,Shopping & Retail,USA,USD,freelancer,295.51,2023-05-08
Charity,Charity & Donations,USA,USD,freelancer,131.5,2023-05-08
Doctors Without Borders Station,Charity & Donations,USA,USD,freelancer,48.36,2023-05-08
Doctors Without Borders #3619 - USA Store Station,Charity & Donations,USA,USD,freelancer,12.98,2023-05-09
WWF - Rush Hour,Charity & Donations,USA,USD,freelancer,159.45,2023-05-09
Walk-in Clinic,Healthcare & Medical,USA,USD,freelancer,419.11,2023-05-09
Sheriff (Mobile),Government & Legal,USA,USD,freelancer,277.11,2023-05-10
Capitol #8900,Government & Legal,USA,USD,freelancer,392.87,2023-05-10
MARTA,Transportation,USA,USD,freelancer,55.41,2023-05-10
Raising Cane's #6419 - USA - Morning,Food & Dining,USA,USD,freelancer,6.68,2023-05-10
CrossFit,Entertainment & Recreation,USA,USD,freelancer,56.6,2023-05-11
Regions Bank Branch,Financial Services,USA,USD,freelancer,775.78,2023-05-12
Xfinity Online,Utilities & Services,USA,USD,freelancer,96.5,2023-05-12
KeyBank,Financial Services,USA,USD,freelancer,542.77,2023-05-13
TJ Maxx,Shopping & Retail,USA,USD,freelancer,14.88,2023-05-13
Firehouse Subs #1104,Food & Dining,USA,USD,freelancer,5.95,2023-05-13
Jimmy John's #1073 Online Branch,Food & Dining,USA,USD,freelancer,14.84,2023-05-15
Cox Store TXN961843,Utilities & Services,USA,USD,freelancer,88.74,2023-05-15
Dollar,Transportation,USA,USD,freelancer,76.27,2023-05-15
GoFundMe Online,Charity & Donations,USA,USD,freelancer,172.3,2023-05-16
Dermatologist,Healthcare & Medical,USA,USD,freelancer,182.08,2023-05-16
Dropbox,Utilities & Services,USA,USD,freelancer,13.68,2023-05-16
Jimmy John's Store (ACH),Food & Dining,USA,USD,freelancer,17.91,2023-05-17
WMATA #5814 - USA TXN104834,Transportation,USA,USD,freelancer,40.08,2023-05-18
Swimming Pool Mall,Entertainment & Recreation,USA,USD,freelancer,52.66,2023-05-19
Windstream - USA,Utilities & Services,USA,USD,freelancer,131.94,2023-05-19
MBTA Branch (Bank Transfer),Transportation,USA,USD,freelancer,97.87,2023-05-20
AMC - USA,Entertainment & Recreation,USA,USD,freelancer,84.76,2023-05-20
Gas Company,Utilities & Services,USA,USD,freelancer,155.16,2023-05-21
Adobe Creative Cloud,Shopping & Retail,USA,USD,freelancer,31.22,2023-05-21
Ambulance #5285,Government & Legal,USA,USD,freelancer,391.73,2023-05-23
Spotify,Entertainment & Recreation,USA,USD,freelancer,9.05,2023-05-23
Phone Company,Utilities & Services,USA,USD,freelancer,256.47,2023-05-24
Local Food Bank Online,Charity & Donations,USA,USD,freelancer,105.36,2023-05-24
Suddenlink,Utilities & Services,USA,USD,freelancer,268.93,2023-05-25
Temple,Charity & Donations,USA,USD,freelancer,13.78,2023-05-25
Water Company,Utilities & Services,USA,USD,freelancer,85.57,2023-05-25
NGO #1509,Charity & Donations,USA,USD,freelancer,69.29,2023-05-25
Toll - USA (Mobile),Transportation,USA,USD,freelancer,76.98,2023-05-26
MBTA - USA,Transportation,USA,USD,freelancer,67.21,2023-05-28
Income,Income,USA,USD,freelancer,6518.11,2023-06-01
Sephora Store - Night,Shopping & Retail,USA,USD,freelancer,117.76,2023-06-01
Trampoline Park,Entertainment & Recreation,USA,USD,freelancer,92.05,2023-06-02
Paintball,Entertainment & Recreation,USA,USD,freelancer,99.82,2023-06-02
Belk - USA Branch (Digital Wallet),Shopping & Retail,USA,USD,freelancer,157.35,2023-06-02
ReachNow #9812 TXN986801,Transportation,USA,USD,freelancer,26.66,2023-06-06
Netflix #1357 - USA,Entertainment & Recreation,USA,USD,freelancer,79.69,2023-06-06
Greenpeace,Charity & Donations,USA,USD,freelancer,13.42,2023-06-06
Dropbox,Utilities & Services,USA,USD,freelancer,10.84,2023-06-06
MBTA #4017,Transportation,USA,USD,freelancer,86.57,2023-06-07
Donation,Charity & Donations,USA,USD,freelancer,37.19,2023-06-08
License TXN634684,Government & Legal,USA,USD,freelancer,340.6,2023-06-10
Occupational Therapy #5543,Healthcare & Medical,USA,USD,freelancer,55.01,2023-06-10
Kickstarter,Charity & Donations,USA,USD,freelancer,63.43,2023-06-10
HughesNet #3933,Utilities & Services,USA,USD,freelancer,291.49,2023-06-10
Von Maur - Evening,Shopping & Retail,USA,USD,freelancer,234.45,2023-06-12
Turo,Transportation,USA,USD,freelancer,16.15,2023-06-13
Uber #5916 (Mobile),Transportation,USA,USD,freelancer,19.22,2023-06-13
Bowling Alley,Entertainment & Recreation,USA,USD,freelancer,75.93,2023-06-14
Post Office Downtown,Government & Legal,USA,USD,freelancer,172.44,2023-06-14
US Bank #8670 TXN871052,Financial Services,USA,USD,freelancer,922.48,2023-06-14
McDonald's #6996,Food & Dining,USA,USD,freelancer,46.77,2023-06-15
Salvation Army #3941,Charity & Donations,USA,USD,freelancer,176.65,2023-06-15
Registration Store,Government & Legal,USA,USD,freelancer,334.21,2023-06-15
Viasat Store,Utilities & Services,USA,USD,freelancer,205.41,2023-06-15
WOW - USA,Utilities & Services,USA,USD,freelancer,280.34,2023-06-16
Immigration Store Online TXN916825,Government & Legal,USA,USD,freelancer,463.96,2023-06-16
eBay #4519 Branch Mall,Shopping & Retail,USA,USD,freelancer,145.84,2023-06-17
Greenpeace Store Online Airport,Charity & Donations,USA,USD,freelancer,182.9,2023-06-17
Gas Company #4806 Shopping Center,Utilities & Services,USA,USD,freelancer,61.0,2023-06-17
Specialist - USA Store,Healthcare & Medical,USA,USD,freelancer,338.17,2023-06-17
Mosque Online,Charity & Donations,USA,USD,freelancer,170.52,2023-06-17
YouTube,Entertainment & Recreation,USA,USD,freelancer,123.73,2023-06-18
Nordstrom Rack #8930,Shopping & Retail,USA,USD,freelancer,102.37,2023-06-18
Subway #8775,Food & Dining,USA,USD,freelancer,40.17,2023-06-19
Wealth Management #5585 - USA,Financial Services,USA,USD,freelancer,634.53,2023-06-20
Cold Stone Creamery Hospital,Food & Dining,USA,USD,freelancer,17.98,2023-06-21
Surgery #7297 Store,Healthcare & Medical,USA,USD,freelancer,479.02,2023-06-22
Temple #1285 Store,Charity & Donations,USA,USD,freelancer,5.99,2023-06-23
Police Department Store,Government & Legal,USA,USD,freelancer,143.54,2023-06-24
Gold's Gym,Entertainment & Recreation,USA,USD,freelancer,135.77,2023-06-24
Spotify,Entertainment & Recreation,USA,USD,freelancer,8.44,2023-06-24
Popeyes Center (Digital Wallet),Food & Dining,USA,USD,freelancer,6.62,2023-06-25
Neurologist (Card),Healthcare & Medical,USA,USD,freelancer,462.37,2023-06-25
Customs #6449,Government & Legal,USA,USD,freelancer,393.37,2023-06-26
City Hall - USA Branch,Government & Legal,USA,USD,freelancer,72.18,2023-06-27
Mutual Fund #2020 Online,Financial Services,USA,USD,freelancer,285.88,2023-06-27
Von Maur - Night,Shopping & Retail,USA,USD,freelancer,13.05,2023-06-28
Festival #9012 Store,Entertainment & Recreation,USA,USD,freelancer,124.61,2023-06-28
Adobe Creative Cloud,Shopping & Retail,USA,USD,freelancer,34.83,2023-06-28
Income,Income,USA,USD,freelancer,3678.27,2023-07-01
BoltBus,Transportation,USA,USD,freelancer,87.42,2023-07-01
Blood Test - Night,Healthcare & Medical,USA,USD,freelancer,127.43,2023-07-01
GoFundMe - Afternoon,Charity & Donations,USA,USD,freelancer,186.14,2023-07-01
eBay #9221 Store Online Center Downtown,Shopping & Retail,USA,USD,freelancer,236.72,2023-07-02
Five Guys #7461,Food & Dining,USA,USD,freelancer,29.65,2023-07-03
Investment - USA,Financial Services,USA,USD,freelancer,69.14,2023-07-03
County Clerk,Government & Legal,USA,USD,freelancer,84.18,2023-07-03
Income,Income,USA,USD,freelancer,5889.98,2023-07-04
County Clerk - USA Store,Government & Legal,USA,USD,freelancer,432.0,2023-07-04
Investment Bank Store Branch,Financial Services,USA,USD,freelancer,978.89,2023-07-04
Gynecologist,Healthcare & Medical,USA,USD,freelancer,468.37,2023-07-04
Mobile,Utilities & Services,USA,USD,freelancer,94.09,2023-07-05
Adidas #7061 - Weekday,Shopping & Retail,USA,USD,freelancer,53.28,2023-07-05
WOW #3281,Utilities & Services,USA,USD,freelancer,232.36,2023-07-06
T-Mobile Store,Utilities & Services,USA,USD,freelancer,171.38,2023-07-06
Passport Center,Government & Legal,USA,USD,freelancer,271.22,2023-07-06
Spotify,Entertainment & Recreation,USA,USD,freelancer,7.77,2023-07-06
NGO,Charity & Donations,USA,USD,freelancer,196.5,2023-07-07
Suddenlink,Utilities & Services,USA,USD,freelancer,275.7,2023-07-07
Service (ACH),Government & Legal,USA,USD,freelancer,443.91,2023-07-07
Oxfam - USA,Charity & Donations,USA,USD,freelancer,62.47,2023-07-09
WiFi Hotspot - USA Online,Utilities & Services,USA,USD,freelancer,105.84,2023-07-09
Mayo Clinic - USA,Healthcare & Medical,USA,USD,freelancer,466.12,2023-07-10
Car2Go #6636 (Mobile),Transportation,USA,USD,freelancer,60.45,2023-07-10
Nordstrom - Afternoon,Shopping & Retail,USA,USD,freelancer,94.85,2023-07-11
Mini Golf,Entertainment & Recreation,USA,USD,freelancer,142.26,2023-07-11
Starbucks Store Center,Food & Dining,USA,USD,freelancer,20.88,2023-07-11
Walmart - USA,Shopping & Retail,USA,USD,freelancer,72.39,2023-07-11
Apple Store (ACH),Shopping & Retail,USA,USD,freelancer,17.47,2023-07-11
Cable Internet #1583,Utilities & Services,USA,USD,freelancer,296.29,2023-07-12
24 Hour Fitness,Entertainment & Recreation,USA,USD,freelancer,74.42,2023-07-13
Community Bank,Financial Services,USA,USD,freelancer,215.34,2023-07-13
Donation,Charity & Donations,USA,USD,freelancer,144.1,2023-07-14
Mount Sinai #2062 - USA,Healthcare & Medical,USA,USD,freelancer,230.26,2023-07-14
Amazon,Shopping & Retail,USA,USD,freelancer,271.1,2023-07-14
Crunch Fitness - USA - Lunch Time,Entertainment & Recreation,USA,USD,freelancer,149.73,2023-07-14
NGO,Charity & Donations,USA,USD,freelancer,23.29,2023-07-15
Dental,Healthcare & Medical,USA,USD,freelancer,410.92,2023-07-15
Neurologist #7557,Healthcare & Medical,USA,USD,freelancer,449.7,2023-07-16
Ambulance #4097 - USA,Government & Legal,USA,USD,freelancer,125.29,2023-07-16
White Castle #4003 Store Online,Food & Dining,USA,USD,freelancer,10.16,2023-07-17
KFC #8199 - USA (Digital Wallet),Food & Dining,USA,USD,freelancer,25.31,2023-07-17
Children's Hospital,Healthcare & Medical,USA,USD,freelancer,464.91,2023-07-18
Adobe Creative Cloud,Shopping & Retail,USA,USD,freelancer,25.53,2023-07-18
Arby's #6077 Store,Food & Dining,USA,USD,freelancer,6.54,2023-07-19
ASPCA Store TXN597680,Charity & Donations,USA,USD,freelancer,38.94,2023-07-19
Laser Tag,Entertainment & Recreation,USA,USD,freelancer,110.32,2023-07-19
Chase Business District,Financial Services,USA,USD,freelancer,101.41,2023-07-20
Checkers #6015 - USA,Food & Dining,USA,USD,freelancer,19.63,2023-07-20
Ski Resort,Entertainment & Recreation,USA,USD,freelancer,8.48,2023-07-20
Rite Aid #4543 Online Center,Shopping & Retail,USA,USD,freelancer,31.93,2023-07-21
Cedars-Sinai #8621,Healthcare & Medical,USA,USD,freelancer,132.58,2023-07-21
Megabus Branch,Transportation,USA,USD,freelancer,96.14,2023-07-21
Sparklight,Utilities & Services,USA,USD,freelancer,254.32,2023-07-22
Windstream Strip Mall,Utilities & Services,USA,USD,freelancer,59.49,2023-07-23
Fifth Third,Financial Services,USA,USD,freelancer,318.03,2023-07-24
Mobile Hotspot Branch Center,Utilities & Services,USA,USD,freelancer,208.32,2023-07-24
Huntington Bank - USA,Financial Services,USA,USD,freelancer,936.6,2023-07-24
Immigration #4486,Government & Legal,USA,USD,freelancer,158.74,2023-07-25
Subway,Food & Dining,USA,USD,freelancer,8.58,2023-07-26
Rock Climbing #2281 (Online),Entertainment & Recreation,USA,USD,freelancer,71.68,2023-07-26
Concert - USA Store,Entertainment & Recreation,USA,USD,freelancer,8.83,2023-07-26
Salvation Army,Charity & Donations,USA,USD,freelancer,72.11,2023-07-26
Senior Center #1752 Branch,Charity & Donations,USA,USD,freelancer,24.49,2023-07-26
Police Department,Government & Legal,USA,USD,freelancer,476.05,2023-07-27
